"geneID","proteinID","descrip"
"BKA90DRAFT_11095","KAE8173158.1","hypothetical protein"
"BKA90DRAFT_136001","KAE8173159.1","hypothetical protein"
"BKA90DRAFT_136003","KAE8173160.1","component of IIS longevity pathway SMK-1-domain-containing protein"
"BKA90DRAFT_81654","KAE8173161.1","thiamine diphosphate-binding protein"
"BKA90DRAFT_136011","KAE8173162.1","hypothetical protein"
"BKA90DRAFT_136012","KAE8173163.1","hypothetical protein"
"BKA90DRAFT_161633","KAE8173164.1","hypothetical protein"
"BKA90DRAFT_136016","KAE8173165.1","hypothetical protein"
"BKA90DRAFT_136017","KAE8173166.1","DHS-like NAD/FAD-binding domain-containing protein"
"BKA90DRAFT_136018","KAE8173167.1","hypothetical protein"
"BKA90DRAFT_136019","KAE8173168.1","kinase-like domain-containing protein"
"BKA90DRAFT_136020","KAE8173169.1","PWI domain-containing protein"
"BKA90DRAFT_11207","KAE8173170.1","hypothetical protein"
"BKA90DRAFT_136022","KAE8173171.1","hypothetical protein"
"BKA90DRAFT_11213","KAE8173172.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_136025","KAE8173173.1","hypothetical protein"
"BKA90DRAFT_136026","KAE8173174.1","hypothetical protein"
"BKA90DRAFT_156787","KAE8173175.1","hypothetical protein"
"BKA90DRAFT_136027","KAE8173176.1","N-glycosylation protein-domain-containing protein"
"BKA90DRAFT_136028","KAE8173177.1","hypothetical protein"
"BKA90DRAFT_136029","KAE8173178.1","hypothetical protein"
"BKA90DRAFT_136033","KAE8173179.1","hypothetical protein"
"BKA90DRAFT_136032","KAE8173180.1","ribosomal protein S5, C-terminal domain-containing protein"
"BKA90DRAFT_110355","KAE8173181.1","DNA-directed RNA polymerase I, subunit RPA34.5"
"BKA90DRAFT_136035","KAE8173182.1","NRDE protein-domain-containing protein"
"BKA90DRAFT_136037","KAE8173183.1","hypothetical protein"
"BKA90DRAFT_136038","KAE8173184.1","hypothetical protein"
"BKA90DRAFT_136039","KAE8173185.1","hypothetical protein"
"BKA90DRAFT_136040","KAE8173186.1","pseudouridine synthase"
"BKA90DRAFT_11298","KAE8173187.1","concanavalin A-like lectin/glucanase domain-containing protein"
"BKA90DRAFT_151972","KAE8173188.1","hypothetical protein"
"BKA90DRAFT_173514","KAE8173189.1","hypothetical protein"
"BKA90DRAFT_136053","KAE8173190.1","hypothetical protein"
"BKA90DRAFT_136054","KAE8173191.1","hypothetical protein"
"BKA90DRAFT_136055","KAE8173192.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_136057","KAE8173193.1","hypothetical protein"
"BKA90DRAFT_11349","KAE8173194.1","hypothetical protein"
"BKA90DRAFT_136065","KAE8173195.1","hypothetical protein"
"BKA90DRAFT_136067","KAE8173196.1","hypothetical protein"
"BKA90DRAFT_11380","KAE8173197.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_173521","KAE8173198.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_136074","KAE8173199.1","hypothetical protein"
"BKA90DRAFT_110388","KAE8173200.1","5-formyltetrahydrofolate cyclo-ligase"
"BKA90DRAFT_156790","KAE8173201.1","hypothetical protein"
"BKA90DRAFT_136081","KAE8173202.1","aminotransferase"
"BKA90DRAFT_136082","KAE8173203.1","hypothetical protein"
"BKA90DRAFT_136083","KAE8173204.1","hypothetical protein"
"BKA90DRAFT_136084","KAE8173205.1","Mo25-like protein"
"BKA90DRAFT_136085","KAE8173206.1","EAP30/Vps36 family-domain-containing protein"
"BKA90DRAFT_110404","KAE8173207.1","LSM domain-containing protein"
"BKA90DRAFT_136088","KAE8173208.1","armadillo-type protein"
"BKA90DRAFT_136090","KAE8173209.1","general substrate transporter"
"BKA90DRAFT_136091","KAE8173210.1","homoserine dehydrogenase-domain-containing protein"
"BKA90DRAFT_136092","KAE8173211.1","vacuolar membrane-associated protein IML1"
"BKA90DRAFT_11478","KAE8173212.1","glycine-rich protein"
"BKA90DRAFT_173535","KAE8173213.1","hypothetical protein"
"BKA90DRAFT_136097","KAE8173214.1","hypothetical protein"
"BKA90DRAFT_136099","KAE8173215.1","CRT10-domain-containing protein"
"BKA90DRAFT_136100","KAE8173216.1","KRI1-like family C-terminal-domain-containing protein"
"BKA90DRAFT_136101","KAE8173217.1","maintenance of mitochondrial morphology protein 1 1"
"BKA90DRAFT_96158","KAE8173218.1","HotDog domain-containing protein"
"BKA90DRAFT_136103","KAE8173219.1","peroxisomal membrane protein PEX17"
"BKA90DRAFT_110437","KAE8173220.1","amidase signature domain-containing protein"
"BKA90DRAFT_81666","KAE8173221.1","hypothetical protein"
"BKA90DRAFT_136107","KAE8173222.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_136109","KAE8173223.1","RNA polymerase II elongation factor ELL-domain-containing protein"
"BKA90DRAFT_136111","KAE8173224.1","hypothetical protein"
"BKA90DRAFT_11514","KAE8173225.1","ZIP zinc transporter-domain-containing protein"
"BKA90DRAFT_136116","KAE8173226.1","subunit NUHM of protein NADH:Ubiquinone oxidoreductase"
"BKA90DRAFT_11520","KAE8173227.1","mitochondrial import inner membrane translocase subunit TIM21"
"BKA90DRAFT_136118","KAE8173228.1","hypothetical protein"
"BKA90DRAFT_173551","KAE8173229.1","ClpP/crotonase-like domain-containing protein"
"BKA90DRAFT_136120","KAE8173230.1","AFG1-like ATPase-domain-containing protein"
"BKA90DRAFT_136124","KAE8173231.1","Cys/Met metabolism PLP-dependent enzyme-domain-containing protein"
"BKA90DRAFT_136125","KAE8173232.1","ATP synthase subunit D-domain-containing protein"
"BKA90DRAFT_136127","KAE8173233.1","Pre-mRNA-splicing factor SYF1"
"BKA90DRAFT_136128","KAE8173234.1","hypothetical protein"
"BKA90DRAFT_110474","KAE8173235.1","amino acid/polyamine transporter I"
"BKA90DRAFT_136132","KAE8173236.1","hypothetical protein"
"BKA90DRAFT_136134","KAE8173237.1","hypothetical protein"
"BKA90DRAFT_136135","KAE8173238.1","hypothetical protein"
"BKA90DRAFT_136136","KAE8173239.1","HSP20-like chaperone"
"BKA90DRAFT_11612","KAE8173240.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_136139","KAE8173241.1","hypothetical protein"
"BKA90DRAFT_156814","KAE8173242.1","general substrate transporter"
"BKA90DRAFT_96208","KAE8173243.1","hypothetical protein"
"BKA90DRAFT_136141","KAE8173244.1","hypothetical protein"
"BKA90DRAFT_136142","KAE8173245.1","hypothetical protein"
"BKA90DRAFT_136143","KAE8173246.1","hypothetical protein"
"BKA90DRAFT_136145","KAE8173247.1","PIN domain-containing protein"
"BKA90DRAFT_136146","KAE8173248.1","XRCC4-like factor-domain-containing protein"
"BKA90DRAFT_136147","KAE8173249.1","Co-chaperone HscB, C-terminal oligomerization domain-containing protein"
"BKA90DRAFT_156821","KAE8173250.1","hypothetical protein"
"BKA90DRAFT_136152","KAE8173251.1","thiolase-like protein"
"BKA90DRAFT_136153","KAE8173252.1","hypothetical protein"
"BKA90DRAFT_167722","KAE8173253.1","hypothetical protein"
"BKA90DRAFT_11659","KAE8173254.1","hypothetical protein"
"BKA90DRAFT_136161","KAE8173053.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_167725","KAE8173054.1","hypothetical protein"
"BKA90DRAFT_136163","KAE8173055.1","hypothetical protein"
"BKA90DRAFT_81820","KAE8173056.1","hypothetical protein"
"BKA90DRAFT_156829","KAE8173057.1","hypothetical protein"
"BKA90DRAFT_136167","KAE8173058.1","hypothetical protein"
"BKA90DRAFT_156834","KAE8173059.1","hypothetical protein"
"BKA90DRAFT_11827","KAE8173060.1","hypothetical protein"
"BKA90DRAFT_136170","KAE8173061.1","hypothetical protein"
"BKA90DRAFT_173578","KAE8173062.1","hypothetical protein"
"BKA90DRAFT_136173","KAE8173063.1","hypothetical protein"
"BKA90DRAFT_81759","KAE8173064.1","hypothetical protein"
"BKA90DRAFT_11842","KAE8173065.1","hypothetical protein"
"BKA90DRAFT_11845","KAE8173066.1","hypothetical protein"
"BKA90DRAFT_136180","KAE8173067.1","hypothetical protein"
"BKA90DRAFT_96252","KAE8173068.1","hypothetical protein"
"BKA90DRAFT_173584","KAE8173069.1","hypothetical protein"
"BKA90DRAFT_136190","KAE8173070.1","RNA 3'-terminal phosphate cyclase domain-containing protein"
"BKA90DRAFT_136191","KAE8173071.1","hypothetical protein"
"BKA90DRAFT_136192","KAE8173072.1","hypothetical protein"
"BKA90DRAFT_11898","KAE8173073.1","DNA polymerase epsilon subunit D"
"BKA90DRAFT_136200","KAE8173074.1","ADC synthase"
"BKA90DRAFT_136202","KAE8173075.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_11917","KAE8173076.1","hypothetical protein"
"BKA90DRAFT_136206","KAE8173077.1","hypothetical protein"
"BKA90DRAFT_11931","KAE8173078.1","hypothetical protein"
"BKA90DRAFT_136208","KAE8173079.1","ribosome biogenesis protein Nop53/GLTSCR2"
"BKA90DRAFT_136209","KAE8173080.1","proline-rich protein"
"BKA90DRAFT_136212","KAE8173081.1","cytochrome oxidase assembly protein 3, mitochondrial"
"BKA90DRAFT_136214","KAE8173082.1","hypothetical protein"
"BKA90DRAFT_173597","KAE8173083.1","hypothetical protein"
"BKA90DRAFT_110568","KAE8173084.1","hypothetical protein"
"BKA90DRAFT_110572","KAE8173085.1","3-oxo-5-alpha-steroid 4-dehydrogenase-domain-containing protein"
"BKA90DRAFT_136221","KAE8173086.1","hypothetical protein"
"BKA90DRAFT_136225","KAE8173087.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_136226","KAE8173088.1","iron permease FTR1 family-domain-containing protein"
"BKA90DRAFT_136227","KAE8173089.1","Phosphatidylglycerol/phosphatidylinositol transfer protein"
"BKA90DRAFT_110584","KAE8173090.1","hypothetical protein"
"BKA90DRAFT_156862","KAE8173091.1","ribonuclease H-like domain-containing protein"
"BKA90DRAFT_136232","KAE8173092.1","hypothetical protein"
"BKA90DRAFT_167761","KAE8173093.1","gamma-tubulin complex component protein"
"BKA90DRAFT_136236","KAE8173094.1","kinase-like domain-containing protein"
"BKA90DRAFT_12050","KAE8173095.1","NUDIX hydrolase domain-like protein"
"BKA90DRAFT_136239","KAE8173096.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_156866","KAE8173097.1","hypothetical protein"
"BKA90DRAFT_136240","KAE8173098.1","cortical protein marker for cell polarity-domain-containing protein"
"BKA90DRAFT_136241","KAE8173099.1","hypothetical protein"
"BKA90DRAFT_81863","KAE8173100.1","hypothetical protein"
"BKA90DRAFT_81807","KAE8173101.1","hypothetical protein"
"BKA90DRAFT_128108","KAE8173102.1","hypothetical protein"
"BKA90DRAFT_167767","KAE8173103.1","hypothetical protein"
"BKA90DRAFT_136244","KAE8173104.1","hypothetical protein"
"BKA90DRAFT_136245","KAE8173105.1","ras-like GTP-binding protein RYL2"
"BKA90DRAFT_136246","KAE8173106.1","RNA pol II accessory factor, Cdc73 family-domain-containing protein"
"BKA90DRAFT_136249","KAE8173107.1","hypothetical protein"
"BKA90DRAFT_136250","KAE8173108.1","hypothetical protein"
"BKA90DRAFT_156883","KAE8173109.1","AAA domain-containing protein"
"BKA90DRAFT_12105","KAE8173110.1","hypothetical protein"
"BKA90DRAFT_146056","KAE8173111.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_12116","KAE8173112.1","hypothetical protein"
"BKA90DRAFT_12122","KAE8173113.1","hypothetical protein"
"BKA90DRAFT_12121","KAE8173114.1","hypothetical protein"
"BKA90DRAFT_156887","KAE8173115.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_128123","KAE8173116.1","hypothetical protein"
"BKA90DRAFT_12159","KAE8173117.1","Brix domain-containing protein"
"BKA90DRAFT_136262","KAE8173118.1","Non-repetitive/WGA-negative nucleoporin C-terminal-domain-containing protein"
"BKA90DRAFT_136263","KAE8173119.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_156891","KAE8173120.1","hypothetical protein"
"BKA90DRAFT_136264","KAE8173121.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_136266","KAE8173122.1","hypothetical protein"
"BKA90DRAFT_128129","KAE8173123.1","hypothetical protein"
"BKA90DRAFT_136268","KAE8173124.1","hypothetical protein"
"BKA90DRAFT_12200","KAE8173125.1","hypothetical protein"
"BKA90DRAFT_136275","KAE8173126.1","hypothetical protein"
"BKA90DRAFT_136276","KAE8173127.1","hypothetical protein"
"BKA90DRAFT_136278","KAE8173128.1","Glucanosyltransferase-domain-containing protein"
"BKA90DRAFT_12214","KAE8173129.1","BTB/POZ protein"
"BKA90DRAFT_167794","KAE8173130.1","Vps16, C-terminal region-domain-containing protein"
"BKA90DRAFT_110647","KAE8173131.1","centromere protein Chl4/mis15/CENP-N"
"BKA90DRAFT_136283","KAE8173132.1","hypothetical protein"
"BKA90DRAFT_136285","KAE8173133.1","sorting nexin MVP1"
"BKA90DRAFT_12242","KAE8173134.1","hypothetical protein"
"BKA90DRAFT_136288","KAE8173135.1","hypothetical protein"
"BKA90DRAFT_12250","KAE8173136.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_156897","KAE8173137.1","hypothetical protein"
"BKA90DRAFT_152107","KAE8173138.1","hypothetical protein"
"BKA90DRAFT_136295","KAE8173139.1","amino acid permease-domain-containing protein"
"BKA90DRAFT_136297","KAE8173140.1","synaptobrevin-domain-containing protein"
"BKA90DRAFT_128150","KAE8173141.1","hypothetical protein"
"BKA90DRAFT_81739","KAE8173142.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_152111","KAE8173143.1","hypothetical protein"
"BKA90DRAFT_136298","KAE8173144.1","Arp2/3 complex, 34 kd subunit p34-Arc-domain-containing protein"
"BKA90DRAFT_136299","KAE8173145.1","putative mitochondrial 37S ribosomal protein MRPS12"
"BKA90DRAFT_136300","KAE8173146.1","hypothetical protein"
"BKA90DRAFT_110680","KAE8173147.1","chloride channel"
"BKA90DRAFT_110683","KAE8173148.1","histone-fold-containing protein"
"BKA90DRAFT_136306","KAE8173149.1","Rieske [2Fe-2S] iron-sulfur domain-containing protein"
"BKA90DRAFT_136307","KAE8173150.1","hypothetical protein"
"BKA90DRAFT_136311","KAE8173151.1","ubiquitin-related domain-containing protein"
"BKA90DRAFT_136312","KAE8173152.1","mitochondrial ribosomal protein L27-domain-containing protein"
"BKA90DRAFT_136314","KAE8173153.1","hypothetical protein"
"BKA90DRAFT_81899","KAE8172952.1","t-SNARE"
"BKA90DRAFT_136318","KAE8172953.1","hypothetical protein"
"BKA90DRAFT_136320","KAE8172954.1","hypothetical protein"
"BKA90DRAFT_136323","KAE8172955.1","ubiquitin-2 like Rad60 SUMO-like-domain-containing protein"
"BKA90DRAFT_12347","KAE8172956.1","protein BIG1"
"BKA90DRAFT_136325","KAE8172957.1","3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein"
"BKA90DRAFT_156904","KAE8172958.1","hypothetical protein"
"BKA90DRAFT_167820","KAE8172959.1","HotDog domain-containing protein"
"BKA90DRAFT_136329","KAE8172960.1","Cys/Met metabolism PLP-dependent enzyme-domain-containing protein"
"BKA90DRAFT_136330","KAE8172961.1","Nup93/Nic96-domain-containing protein"
"BKA90DRAFT_136331","KAE8172962.1","hypothetical protein"
"BKA90DRAFT_136332","KAE8172963.1","hypothetical protein"
"BKA90DRAFT_136335","KAE8172964.1","class I glutamine amidotransferase-like protein"
"BKA90DRAFT_136337","KAE8172965.1","hypothetical protein"
"BKA90DRAFT_136338","KAE8172966.1","hypothetical protein"
"BKA90DRAFT_136339","KAE8172967.1","hypothetical protein"
"BKA90DRAFT_136341","KAE8172968.1","hypothetical protein"
"BKA90DRAFT_136342","KAE8172969.1","eukaryotic translation initiation factor 3 subunit M"
"BKA90DRAFT_136343","KAE8172970.1","RuvB-like helicase 1"
"BKA90DRAFT_136344","KAE8172971.1","hypothetical protein"
"BKA90DRAFT_136347","KAE8172972.1","small COPII coat GTPase SAR1"
"BKA90DRAFT_96469","KAE8172973.1","coatomer WD associated region-domain-containing protein"
"BKA90DRAFT_161824","KAE8172974.1","hypothetical protein"
"BKA90DRAFT_136351","KAE8172975.1","Tim10/DDP family zinc finger-domain-containing protein"
"BKA90DRAFT_136354","KAE8172976.1","hypothetical protein"
"BKA90DRAFT_12457","KAE8172977.1","hypothetical protein"
"BKA90DRAFT_136356","KAE8172978.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_136357","KAE8172979.1","hypothetical protein"
"BKA90DRAFT_136358","KAE8172980.1","hypothetical protein"
"BKA90DRAFT_12468","KAE8172981.1","hypothetical protein"
"BKA90DRAFT_110762","KAE8172982.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_167840","KAE8172983.1","mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase-domain-containing protein"
"BKA90DRAFT_136365","KAE8172984.1","60S ribosomal protein L3"
"BKA90DRAFT_136368","KAE8172985.1","calcium-activated chloride channel-domain-containing protein"
"BKA90DRAFT_136369","KAE8172986.1","hypothetical protein"
"BKA90DRAFT_136371","KAE8172987.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_136374","KAE8172988.1","ATP-dependent RNA helicase DED1"
"BKA90DRAFT_96507","KAE8172989.1","MEMO1 family"
"BKA90DRAFT_136377","KAE8172990.1","hypothetical protein"
"BKA90DRAFT_12529","KAE8172991.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_12528","KAE8172992.1","hypothetical protein"
"BKA90DRAFT_136380","KAE8172993.1","globin-like protein"
"BKA90DRAFT_136382","KAE8172994.1","hypothetical protein"
"BKA90DRAFT_136383","KAE8172995.1","hypothetical protein"
"BKA90DRAFT_136385","KAE8172996.1","hypothetical protein"
"BKA90DRAFT_136386","KAE8172997.1","hypothetical protein"
"BKA90DRAFT_156912","KAE8172998.1","hypothetical protein"
"BKA90DRAFT_81904","KAE8172999.1","hypothetical protein"
"BKA90DRAFT_152162","KAE8173000.1","hypothetical protein"
"BKA90DRAFT_136389","KAE8173001.1","hypothetical protein"
"BKA90DRAFT_161845","KAE8173002.1","hypothetical protein"
"BKA90DRAFT_161846","KAE8173003.1","hypothetical protein"
"BKA90DRAFT_136393","KAE8173004.1","THO complex, subunit THOC1"
"BKA90DRAFT_136394","KAE8173005.1","hypothetical protein"
"BKA90DRAFT_136395","KAE8173006.1","Septin-domain-containing protein"
"BKA90DRAFT_136397","KAE8173007.1","nucleotide-diphospho-sugar transferase"
"BKA90DRAFT_136398","KAE8173008.1","Redoxin"
"BKA90DRAFT_136399","KAE8173009.1","glutathione S-transferase"
"BKA90DRAFT_136400","KAE8173010.1","chaperonin Cpn60/TCP-1 family"
"BKA90DRAFT_136401","KAE8173011.1","hypothetical protein"
"BKA90DRAFT_173697","KAE8173012.1","hypothetical protein"
"BKA90DRAFT_96541","KAE8173013.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_152173","KAE8173014.1","hypothetical protein"
"BKA90DRAFT_136406","KAE8173015.1","hypothetical protein"
"BKA90DRAFT_136407","KAE8173016.1","RWD domain-containing protein"
"BKA90DRAFT_110823","KAE8173017.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_167868","KAE8173018.1","hypothetical protein"
"BKA90DRAFT_136414","KAE8173019.1","sterol-sensing domain of SREBP cleavage-activation-domain-containing protein"
"BKA90DRAFT_96553","KAE8173020.1","F-actin-capping protein subunit beta"
"BKA90DRAFT_167870","KAE8173021.1","hypothetical protein"
"BKA90DRAFT_110833","KAE8173022.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_136418","KAE8173023.1","nucleophile aminohydrolase"
"BKA90DRAFT_136420","KAE8173024.1","hypothetical protein"
"BKA90DRAFT_136421","KAE8173025.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_173709","KAE8173026.1","hypothetical protein"
"BKA90DRAFT_12713","KAE8173027.1","hypothetical protein"
"BKA90DRAFT_136425","KAE8173028.1","hypothetical protein"
"BKA90DRAFT_136426","KAE8173029.1","Methylthioribulose-1-phosphate dehydratase"
"BKA90DRAFT_136427","KAE8173030.1","Alpha/Beta hydrolase protein"
